title,genre,director,rating
Rocket Singh: Salesman of the Year,"A story of a fresh graduate trying to find a balance between the maddening demands of the 'professional' way, and the way of his heart.",Shimit Amin,7.5
Tubelight,"A story of two brothers set during the Sino-Indian war, 1962: the younger one who's at war at the borders and the elder who's at war with his own world.",Kabir Khan,3.9
A Thursday,"When a playschool teacher - Yami Gautam kidnaps 16 small students and she puts a series of demands, it not only shakes the Mumbai police and city, but it sends repercussions throughout the country and its politicians.",Behzad Khambata,7.8
Jolly LLB,"Wanting to earn fame and fortune, a small time lawyer files a PIL for an infamous hit-and-run, and thus learns what it really is like to be a lawyer.",Subhash Kapoor,7.5
Kabhi Alvida Naa Kehna,"Dev, a former football player is married to Rhea, a successful fashion editor. Maya is a kindergarten teacher who is married to Rishi, an outgoing event planner. These couples' lives intersect and they each question their own marriage.",Karan Johar,6.0
Dasvi,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school, while his scheming wife has plans of her own.",Tushar Jalota,7.4
Newton,A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels.,Amit Masurkar,7.6
Shiddat,"A passionate love story involving two couples which highlights the contrast between a regular, mature yet egoistic husband and a unique, happy go lucky, enamored, overzealous boy chasing after the love of his life.",Kunal Deshmukh,7.7
Good Newwz,Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,Raj Mehta,6.8
Dum Laga Ke Haisha,Prem and his oversized wife Sandhya are supposed to spend a lifetime together. Will a regular arranged marriage turn out to be a perfect mismatch?,Sharat Katariya,7.5
Mrs. Serial Killer,"When a doctor gets jailed for a string of shocking murders, his loyal wife sets out to commit a copycat crime to prove his innocence.",Shirish Kunder,4.2
Kesari,"Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897.",Anurag Singh,7.4
Jai Ho,"An upright ex-army man, Jai fights a solitary war against corruption and injustice. With a simple mantra to pay forward, he starts off by helping one person and forms an ever growing circle of people helping each other.",Sohail Khan,5.0
Nayakan,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.",Mani Ratnam,8.6
Thugs of Hindostan,"Recruited by the East India Company, a local thug infiltrates a troop of patriotic bandits who plan to overthrow the British regime and reclaim their independence.",Vijay Krishna Acharya,4.0
Ek Villain,"When his wife becomes the latest victim of a serial killer, Guru blurs the line between good and evil in his pursuit of revenge.",Mohit Suri,6.5
Chhalaang,"Chhalaang is a hilarious, yet inspirational journey of Montu, a PT Master from a semi govt. funded school for whom teaching PT is just a job. When circumstances put everything he cares for ...                See full summary »",Hansal Mehta,6.8
Khuda Haafiz,A newly married couple's life falls in jeopardy when the wife goes missing under mysterious circumstances.,Faruk Kabir,7.2
Golmaal,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,Hrishikesh Mukherjee,8.5
Manjhi: The Mountain Man,"Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",Ketan Mehta,8.0
Tere Naam,"Problems arise when Radhey Mohan, a delinquent falls in love with a girl named Nirjara.",Satish Kaushik,7.2
Wazir,A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.,Bejoy Nambiar,7.1
Dabangg 3,"Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds.",Prabhu Deva,3.0
Hum Dil De Chuke Sanam,"Nandini has to choose between Sameer, the man who taught her to fall in love; and Vanraj, the man from whom she learnt how to abide and fulfill promises of love.",Sanjay Leela Bhansali,7.4
Dabangg 2,Chulbul Pandey invites a fresh trouble when he kills the brother of a notorious politician and the former swears to wreak havoc in his life.,Arbaaz Khan,4.8
Guzaarish,"Ethan, a magician rendered paralyzed in an accident, sets off a furor when he makes a petition to the court to end his own life.",Sanjay Leela Bhansali,7.4
Kabhi Haan Kabhi Naa,A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves.,Kundan Shah,7.6
Baadshah,A small time detective is mistaken as a CBI agent and gets embroiled in a deadly mission to save the Chief Minister from an assassination attempt.,Abbas Alibhai Burmawalla,6.8
Ready,"Set in Thailand and India, a case of mistaken identity leads to love, and a man and his family concoct a grand scheme to win over the hearts of a woman and her greedy, conniving uncles.",Anees Bazmee,4.8
Raat Akeli Hai,The film follows a small town cop who is summoned to investigate the death of a politician which gets complicated by the victim's secretive family and his own conflicted heart.,Honey Trehan,7.2
Torbaaz,"A man rises from personal tragedy to lead a group of children from a refugee camp to victory, transforming their lives through the game of cricket.",Girish Malik,6.9
Student of the Year,Several alumni reminisce about their final year at St. Theresa's College and the events that shaped their lives.,Karan Johar,5.2
Raajneeti,"Samar, the son of a political family, has chosen to go to the USA to live with his girlfriend. However, the death of his father makes him put his plans on hold and enter the dirty world of politics.",Prakash Jha,7.1
Once Upon a Time in Mumbaai,"As a smuggler rises to power in in 1970s Mumbai, a younger gangster seeks to overthrow him and a police officer is caught in the middle.",Milan Luthria,7.4
Oye Lucky! Lucky Oye!,"Lovinder Singh, a thief now in custody and facing trial, reflects on his life of crime while the press reflect on how he managed to get away with so much before being arrested.",Dibakar Banerjee,7.7
Dil Dhadakne Do,The Mehra family must contemplate over their way of living and their love lives while on a cruise celebrating their 30th wedding anniversary.,Zoya Akhtar,7.0
Raid,A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.,Raj Kumar Gupta,7.4
Lootcase,"Nandan Kumar comes across a suitcase and discovers it is full of cash. He takes the suitcase and soon finds himself being chased by a notorious gangster, an honest cop and a minister, who want the suitcase at any cost.",Rajesh Krishnan,7.6
Meenakshi Sundareshwar,"Forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups - and hilarity - that arise from their long distance marriage.",Vivek Soni,7.2
Kaminey,"The desperate lives of two estranged twin brothers converge over missing drugs, politics, racial prejudice, corrupt cops and an unplanned pregnancy.",Vishal Bhardwaj,7.4
Gangaajal,"An IPS officer motivates and leads a dysfunctional, corrupt police force of Tezpur to fight against the corrupt politician.",Prakash Jha,7.8
Golmaal: Fun Unlimited,Four runaway crooks take shelter in a bungalow which is owned by a blind couple.,Rohit Shetty,7.4
Iqbal,"Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player.",Nagesh Kukunoor,8.1
Bhool Bhulaiyaa 2,"A casual encounter between two strangers, Ruhaan and Reet, sends them to visit Reet's hometown in Rajasthan, where they uncover an old secret that results in panic.",Anees Bazmee,7.1
Sarkar,"Subhash Nagre runs a parallel government in the city where he has a cult following. When his enemies plot to murder him, his son takes charge and stands up against them.",Ram Gopal Varma,7.6
Band Baaja Baaraat,"Shruti and Bittoo become partners in their very own ""Wedding planning ka bijness"" in Delhi and in the process discover friendship, love and one another.",Maneesh Sharma,7.2
Singham,A truly honest police officer is transferred to a town controlled by a gangster he has humiliated. The gangster believes he can use good power to bring down this officer who made him look foolish and weak.,Rohit Shetty,6.8
Angrezi Medium,"When his daughter decides to further her studies in London, a hardworking Rajasthani businessman does everything in power to make her dreams come true.",Homi Adajania,7.2
Kalank,"The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India.",Abhishek Varman,3.4
Shahid,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",Hansal Mehta,8.2
Runway 34,"Inspired by true incidents, ""Runway 34"" revolves around Captain Vikrant Khanna played by Ajay Devgn, a flying prodigy, whose flight takes a mysterious course after take-off from an international destination.",Ajay Devgn,7.4
Race 2,Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.,Abbas Alibhai Burmawalla,5.3
Baghban,"An elderly couple wish their children to care for them in their old age. But their children see and treat them as a burden, and they must struggle to regain their worth and dignity to themselves and others.",Ravi Chopra,7.4
The Legend of Bhagat Singh,The story of a young revolutionary who raised an armed resistance against the British rule in India.,Rajkumar Santoshi,8.1
